Code,Text
big_5_question,I believe in eating healthily.
big_5_question,I am not happy until all the details are taken care of.
big_5_question,I do not take news at face value.
big_5_question,I avoid romantic intimacy at all costs.
big_5_question,I can sense how things will turn out.
big_5_question,I see that rules are observed.
big_5_question,I am rarely scared by loud noises.
big_5_question,I have a vivid imagination.
big_5_question,I don't pretend to be more than i am.
big_5_question,I don't see the consequences of things.
big_5_question,I make people feel welcome.
big_5_question,I let people push me around to help them feel important.
big_5_question,I prefer talking to people about their daily activities rather than their feelings.
big_5_question,I am always busy with something interesting.
big_5_question,I am not as tactful as i should be.
big_5_question,I become restless if i'm not accomplishing something.
big_5_question,I love to learn new things.
big_5_question,I can be relied upon by others.
big_5_question,I let myself be influenced by others.
big_5_question,I feel like a loser if i compromise.
big_5_question,I have been told that my behavior often is bizarre.
big_5_question,I keep things that i never use.
big_5_question,I sometimes forget what i'm trying to do.
big_5_question,I protect myself from threat or danger.
big_5_question,I go to the doctor a lot.
big_5_question,I avoid contacts with others.
big_5_question,I have been in trouble for mouthing off to my boss.
big_5_question,I experience panic spells.
big_5_question,I think that suicide would solve a lot of problems.
big_5_question,I pay no attention to my own needs.
big_5_question,I have many valuable material possessions.
big_5_question,I am often rushed.
big_5_question,I am less capable than most people.
big_5_question,I forget appointments.
big_5_question,I try to avoid complex people.
big_5_question,I am afraid of many things.
big_5_question,I feel it is important to keep up appearances.
big_5_question,I cannot control the urge to hurt myself when something goes wrong.
big_5_question,I dislike being the center of attention.
big_5_question,I believe that it is best to forgive and forget.
big_5_question,I like to look at myself in the mirror.
big_5_question,I act without ulterior motives.
big_5_question,I say inappropriate things.
big_5_question,I get upset by unpleasant thoughts that come into my mind.
big_5_question,"I feel happy when i see other people doing things like showing compassion, forgiving others, or being kind."
big_5_question,I anticipate the needs of others.
big_5_question,I am easily influenced.
big_5_question,I begin to answer before the other person finishes the question.
big_5_question,I behave properly.
big_5_question,I show my gratitude.
big_5_question,I hug my close friends.
big_5_question,I often change the facts of a story to make it more interesting.
big_5_question,I want to be liked.
big_5_question,I do not stand up for my beliefs.
big_5_question,I am apprehensive about new encounters.
big_5_question,I often stop in the middle of one activity to start another one.
big_5_question,I resist society's rules.
big_5_question,I tend to feel happy and irritable at the same time.
big_5_question,I act contrary to reason.
big_5_question,I rarely get bored because i start daydreaming when things get boring.
big_5_question,I distrust people.
big_5_question,I quickly lose interest in the tasks i start.
big_5_question,I am in awe of simple things in life that others might take for granted.
big_5_question,I believe that both feelings and thinking are important in making decisions and solving problems.
big_5_question,I have overcome pain and disappointment.
big_5_question,I love beautiful things.
big_5_question,I seldom read the comics.
big_5_question,I think that people who are stupid enough to get ripped off usually deserve it.
big_5_question,I find it difficult showing people that i care about them.
big_5_question,I can improvise.
big_5_question,I respect authority.
big_5_question,I am not sure where my life is going.
big_5_question,I believe that small lies are ok.
big_5_question,I have had conflicts with the police.
big_5_question,I pull my hair out on purpose.
big_5_question,I believe that there is never an excuse for lying.
big_5_question,I don't think that laws apply to me.
big_5_question,I have a soft heart.
big_5_question,I like to color or style my hair in unconventional ways.
big_5_question,I like having secrets.
big_5_question,"I feel that the slightest problems are the ""end of the world."""
big_5_question,I am good at making impromptu speeches.
big_5_question,I like to spend time learning new things that do not have anything to do with my studies or work.
big_5_question,I insult people.
big_5_question,I have leadership abilities.
big_5_question,I have found that it takes a lot to make me feel truly happy.
big_5_question,I seem to derive less enjoyment from interacting with people than others do.
big_5_question,I call for action while others talk.
big_5_question,I am afraid that i will do the wrong thing.
big_5_question,I stick up for myself.
big_5_question,I get to the heart of the matter.
big_5_question,I give people a second chance.
big_5_question,I don't think it's important to socialize with others.
big_5_question,I think of things like developing cancer or catching a serious illness.
big_5_question,I get into my work.
big_5_question,I take the future into account.
big_5_question,I do things out of revenge.
big_5_question,I have noticed that lying comes easily to me.
big_5_question,I seldom toot my own horn.
big_5_question,I am often late to work.
big_5_question,"I am able to do what i should do, even when i feel scared."
big_5_question,I switch my loyalties when i feel like it.
big_5_question,I act as if i'm constantly on stage.
big_5_question,I have difficulty getting others to work together.
big_5_question,I have too many thoughts that confuse me and others.
big_5_question,I rarely worry.
big_5_question,I make people pay for crossing me.
big_5_question,I leave a mess in my room.
big_5_question,I often have illogical thoughts.
big_5_question,"I have been described as ""unusual."""
big_5_question,I want to be told i am right.
big_5_question,I believe in universal harmony.
big_5_question,I try to provoke others just to get a response.
big_5_question,I believe only in myself.
big_5_question,I cut conversations short.
big_5_question,I am not in touch with my feelings.
big_5_question,I believe that most people make friends only because they expect friends to be useful.
big_5_question,I amuse myself easily.
